word,count
newline,4300416
world,358184
would,270812
life,254277
time,249921
one,246146
within,241623
became,224992
eyes,208202
could,195170
upon,189656
power,186766
heart,183173
story,180204
found,179668
every,169406
day,164180
like,161940
began,158060
love,150597
