word,count
students,1225684
people,1127401
would,961388
school,676802
also,642795
like,615807
car,605406
cars,595995
could,574251
electoral,566866
help,560484
time,540470
one,536405
college,502923
get,501107
make,498444
many,465423
may,403472
think,395082
states,383262
