ngram,count
electoral college,447892
car usage,180730
popular vote,147181
driverless cars,138576
limiting car,120390
united states,95595
community service,76024
many people,69852
cell phones,65339
face mars,62830
electoral votes,59777
extracurricular activities,57620
high school,54735
public transportation,49992
students would,49394
