word,count
students,354762
people,262055
also,239015
electoral,220160
like,202312
college,201485
may,191316
help,190135
make,160415
important,160316
time,159591
states,155717
car,153997
one,149251
school,144083
cars,139523
would,137311
could,131629
life,130669
system,116487
